,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
last_s[103],-0.17573832007435317,0.10372694488952254,-0.3249803465308089,0.016499507693312772,97.3030745047209,76.00379514302442,1.0265236623699574,0.010603391785004222,0.008239995930133966
last_s[104],-0.11714955956007915,0.08893678589602345,-0.2684318145229431,0.03224252494503234,102.23428026341762,88.85663986296807,0.9977702359432525,0.008812725478980706,0.006867720288747645
last_s[105],-0.0011571078371976691,0.13150483842657418,-0.2083608688102902,0.1954378804071004,116.92597470314648,112.46669895858565,1.0088215263105127,0.012172382941313748,0.010646922698908488
last_s[106],0.22471808112335054,0.07975517432962577,0.09986025566942743,0.34913208940426543,16.98349620747034,60.54301804913329,1.1062339693300691,0.02026338111342316,0.005497650946942019
last_s[107],0.151300589328003,0.06269560515125948,0.058722890768021764,0.2621935555625907,138.68385669481242,80.68328319724985,1.020458166203241,0.005670496881413762,0.004023141176701618
last_s[108],0.21616399009796866,0.18788886787793338,-0.10353898375863703,0.5232583134210211,150.57687972361447,103.41449762104672,1.0011867269586296,0.014775079031707772,0.016086429760390382
last_s[109],-0.13981658604060296,0.18978552828781506,-0.4360413505648723,0.1356922640412831,148.48734190767425,100.18810828494321,1.004750518128202,0.016035535200381684,0.015367610978167617
last_s[110],-0.1672174921976694,0.18091099158151033,-0.4198170498369085,0.14277943968521223,48.280857944184916,40.79695382744755,1.0439372374641334,0.026475795243253067,0.024456652870798436
last_s[111],0.06639184214952691,0.16829800076178864,-0.22246531065603845,0.3412191627004235,91.52262753896429,76.79812476868037,1.007179176764151,0.017713274144458745,0.014526817304882478
last_s[112],-0.03701054652955929,0.17173606157949925,-0.2961461831848716,0.21985083955583876,116.38461437634942,91.84688043748447,1.0078897085533982,0.016017501472514985,0.013920150134009206
last_s[113],-0.2257732303632814,0.1312684077265963,-0.4262419027896419,-0.012993214440580665,111.57549284275859,67.45501473576304,1.007409529440664,0.012819831437853669,0.01140105379434514
last_s[114],-0.047411661566270864,0.2015089996839368,-0.3923876011641746,0.26170443361468404,138.84388639679426,102.95813591585492,1.0052404716447605,0.017117401776214857,0.013404002037664309
last_s[115],0.2344230049379924,0.0773663691091283,0.09431757222308636,0.35334084989613407,200.0,29.338175481612545,1.0552194274769593,0.005498188438632906,0.01148520762077416
last_s[116],0.13221615207168327,0.07880030742911039,0.014236840086539493,0.25892326545821365,179.13958240491624,84.72827333180462,1.0194878348599494,0.005701014005474119,0.008271467450852645
last_s[117],0.02713302639771109,0.20246699765462012,-0.2887892784433386,0.4023258936704409,95.07519344612619,25.56643449640108,1.0428380240354027,0.020163026015510763,0.024522751938872375
last_s[118],-0.06959894940840805,0.14099837602765194,-0.29711164600118883,0.1408344276678316,115.05131411180436,92.53693964437764,1.0153485229637682,0.013352659675974534,0.009566225145262943
last_s[119],0.04668180811532165,0.08963844536208766,-0.09741280534521257,0.17991418112032334,116.05319504111559,41.5742490958557,1.0437648944371705,0.008352565344953945,0.012288484442018691
last_s[120],0.010674798762132969,0.1854315628531975,-0.2587595471792565,0.27931422937230066,28.812160859845736,95.81680951771784,1.065903087725671,0.03517459959176851,0.012281643424538408
last_s[121],0.09379937852199595,0.16745154167345108,-0.17120563792418567,0.39379450665958254,98.5779154388701,47.359535218611164,1.0371306362897341,0.016897730703481478,0.019481265905542097
